supplier_name,product_name,unit_pack_info
KETEPA TEA PACKERS LTD,Fahari Ginger 20x250g,
KETEPA TEA PACKERS LTD,Fahari Ginger 250gx40,
KETEPA TEA PACKERS LTD,Fahari Ya Kenya 3X4X500g V,
KETEPA TEA PACKERS LTD,Safari Pure Envelop T Bag 2gx100x10,
KETEPA TEA PACKERS LTD,Tea Bag Handy 40X25X2g Envelop,
KETEPA TEA PACKERS LTD,Tea Bag Jani Green Tea 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Jumbo 2gx100x10 Tagless,
KETEPA TEA PACKERS LTD,Fahari Ginger 100gx6x10,
KETEPA TEA PACKERS LTD,Tea Bag Ginger Han 20X25X2g Easy,
KETEPA TEA PACKERS LTD,Fahari Gift Pack 1kg x 8 V,
KETEPA TEA PACKERS LTD,Tea Bag Cinamon Han 20X25X2g Easy,
KETEPA TEA PACKERS LTD,Tea Bag Lemon Handy 2gx20 Tag,
KETEPA TEA PACKERS LTD,Teabag Jumbo 2gx100x10 V Tag,
KETEPA TEA PACKERS LTD,Black Instant Tea 12tins x 25g,
KETEPA TEA PACKERS LTD,Green Instant Tea 12tins x 25g,
KETEPA TEA PACKERS LTD,Tea Bag Caramel 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Cataring 2g*10*100 V Tagless,
KETEPA TEA PACKERS LTD,Tea Bag Earl Gray 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Forest Fruit 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Jani Jasmine 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Jani Mint 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Masala 2gx25x20,
KETEPA TEA PACKERS LTD,Tea Bag Cataring 2g*10*100 Tag V,
KETEPA TEA PACKERS LTD,Jani Green Tea 250gx20,
KETEPA TEA PACKERS LTD,Tea Bag Economy 2gx50x20 Tagless,
KETEPA TEA PACKERS LTD,Fahari Ginger 50gx10x10,
KETEPA TEA PACKERS LTD,Tea Bag Handy 40X25X2g Tagless,
KETEPA TEA PACKERS LTD,Tea Bag Env 20X50X2g,
KETEPA TEA PACKERS LTD,Safari Pure Economy T Bag 2gx50x20,
KETEPA TEA PACKERS LTD,Fahari Ginger 15gx20x20,
KETEPA TEA PACKERS LTD,Fahari Ginger 10 x 50 x 5g,
KETEPA TEA PACKERS LTD,Fahari Ginger 500g x 20,
KETEPA TEA PACKERS LTD,Tea Bag Hexagonal 6x60x2g Easy,
KETEPA TEA PACKERS LTD,Jani Green Tea 20x50x2grm,
KETEPA TEA PACKERS LTD,Tea Bag Handy 2gx25x40 Tag,
KETEPA TEA PACKERS LTD,Tea Bag Env 2gX100X10 V,
KETEPA TEA PACKERS LTD,Tea Bag Economy 2gx50x20 Tag,
KETEPA TEA PACKERS LTD,Safari Pure 500gX10 V,
KETEPA TEA PACKERS LTD,Fahari Tea 500gx12 V,
KETEPA TEA PACKERS LTD,Fahari 10parcelsX10X50g V,
KETEPA TEA PACKERS LTD,Fahari 20parcelsX25X5g V,
KETEPA TEA PACKERS LTD,Fahari Tea  5x10x100g,
KETEPA TEA PACKERS LTD,Fahari 20parcelsX20X15g,
KETEPA TEA PACKERS LTD,Safari Pure 250gX20,
KETEPA TEA PACKERS LTD,Fahari Tea  5x4x250g,
Kam & Chin,Homy Powder 1kgx10 V,
Kam & Chin,Homy Detergent Powder 500g x 20,
Kam & Chin,Homy Detergent Powder 60g x 72,
Kam & Chin,Homy Detergent Powder 200g x 40,
Kam & Chin,Homy Detergent Powder 100g x 100,
Kam & Chin,Homy Detergent Powder 10kg,
Haco Industries Ltd,Ace Ltc Citrus Fresh 1ltX12 V,
Haco Industries Ltd,Ace Ltc Fruity Fresh 1LtX12,
Haco Industries Ltd,Ace Ltc Fruity Fresh 500mlx12 V,
Haco Industries Ltd,Ace LTC Lavender 1ltX12,
Haco Industries Ltd,Ace Ltc Pine 1ltX12,
Haco Industries Ltd,Ace Ltc Powermax 1ltX12,
Haco Industries Ltd,Amara Argan Lot 600mlX12,
Haco Industries Ltd,Amara Coconut Lotion 600mlX12,
Haco Industries Ltd,Amara Lotion C butter 600ml X 6 V,
Haco Industries Ltd,Amara Lot Men 600ml x 6 V,
Haco Industries Ltd,Amara Lot Milk 600ml x 6 V,
Haco Industries Ltd,Amara Lot Raw Shea 200mlX12,
Haco Industries Ltd,Amara Lot Raw Shea 400mlX12,
Haco Industries Ltd,Amara Lot Raw Shea 600mlX12,
Haco Industries Ltd,Miadi Bergamot Oil Nl 50gmx24 V,
Haco Industries Ltd,Miadi Bergamot Oil Nl 85gm x 6 V,
Haco Industries Ltd,Miadi Cholesterol Treatment 100gX12 V,
Haco Industries Ltd,Miadi Cholesterol Treatment 100gX6 V,
